"Comunidad.Autónoma";"Provincia";"Gasto.Total.Prestación";"Gasto.Prestación.Contributiva";"Gasto.Subsidio.Desempleo";"Gasto.Renta.Activa.Inserción";"Gasto.Subsidio.Eventuales.Agrarios";"mes";"any"
"País Vasco";"Gipuzkoa";19307,31;15523,77;3518,93;264,61;0;"02";"2022"
"País Vasco";"Bizkaia";34420,79;26319,38;7432,45;668,96;0;"02";"2022"
"La Rioja";"Rioja, La";9714,03;7214,54;2345,71;153,78;0;"02";"2022"
"Ceuta";"Ceuta";2876,13;1543,77;1120,72;211,64;0;"02";"2022"
"Melilla";"Melilla";2162,92;1333,27;729,95;99,7;0;"02";"2022"
"Andalucía";"Almería";30583,91;18823,2;9624,38;1136,97;999,36;"03";"2022"
"Andalucía";"Cádiz";63445,27;34447,76;21945,91;3629,66;3421,94;"03";"2022"
"Andalucía";"Córdoba";42052,74;17246,66;15478,6;1588,98;7738,5;"03";"2022"
"Andalucía";"Granada";45649,08;21901,64;17021,61;1956,09;4769,74;"03";"2022"
"Andalucía";"Huelva";27566,19;14485,37;8918,63;1078,23;3083,96;"03";"2022"
"Andalucía";"Jaén";35441,28;15557,81;12322,24;1165,58;6395,65;"03";"2022"
"Andalucía";"Málaga";72146,68;41991,32;23922,52;2858,16;3374,68;"03";"2022"
"Andalucía";"Sevilla";93512,41;44931,94;33439,66;3871,11;11269,7;"03";"2022"
"Aragón";"Huesca";6638,6;5030,17;1467,18;141,25;0;"03";"2022"
"Aragón";"Teruel";3753,66;2603,51;1089,1;61,05;0;"03";"2022"
"Aragón";"Zaragoza";31310,86;22391,11;8210,61;709,14;0;"03";"2022"
"Asturias";"Asturias";32493,35;20716,08;10690,6;1086,67;0;"03";"2022"
"Illes Balears";"Balears, Illes";87145,17;76956,31;9366,37;822,49;0;"03";"2022"
"Canarias";"Palmas, Las";49864,97;29520,93;17836,76;2507,28;0;"03";"2022"
"Canarias";"Santa Cruz de Tenerife";44403,06;25136,81;16762,4;2503,85;0;"03";"2022"
"Cantabria";"Cantabria";19983,51;13570,45;5824,66;588,4;0;"03";"2022"
"Castilla y León";"Ávila";5484,55;3264,86;2038,84;180,85;0;"03";"2022"
"Castilla y León";"Burgos";12289,24;8440,14;3589,28;259,82;0;"03";"2022"
"Castilla y León";"León";15047,36;9236,42;5355,9;455,04;0;"03";"2022"
"Castilla y León";"Palencia";5641,48;4012,66;1493,59;135,23;0;"03";"2022"
"Castilla y León";"Salamanca";10752,18;6704,46;3689,53;358,19;0;"03";"2022"
"Castilla y León";"Segovia";4361,48;3102,77;1170,47;88,24;0;"03";"2022"
"Castilla y León";"Soria";2713,91;2052,76;615,27;45,88;0;"03";"2022"
"Castilla y León";"Valladolid";17080,54;12407,07;4266,59;406,88;0;"03";"2022"
"Castilla y León";"Zamora";5730,36;3443,54;2103,35;183,47;0;"03";"2022"
"Castilla - La Mancha";"Albacete";15136,78;9101,77;5335,55;699,46;0;"03";"2022"
"Castilla - La Mancha";"Ciudad Real";18476,81;10297,95;7119,1;1059,76;0;"03";"2022"
"Castilla - La Mancha";"Cuenca";6297,48;3950,24;2155,83;191,41;0;"03";"2022"
"Castilla - La Mancha";"Guadalajara";10135,59;7276,3;2631,35;227,94;0;"03";"2022"
"Castilla - La Mancha";"Toledo";27259,78;16543,88;9698,95;1016,95;0;"03";"2022"
"Cataluña";"Barcelona";213227,79;162910,13;47286,95;3030,71;0;"03";"2022"
"Cataluña";"Girona";33326,68;25901,53;6893,93;531,22;0;"03";"2022"
"Cataluña";"Lleida";14363,56;10596,75;3471,82;294,99;0;"03";"2022"
"Cataluña";"Tarragona";35706,44;26161,72;8766,06;778,66;0;"03";"2022"
"Comunitat Valenciana";"Alicante/Alacant";72652,62;43298,15;26124,25;3230,22;0;"03";"2022"
"Comunitat Valenciana";"Castellón/Castelló";21578,48;13787,27;7131,21;660;0;"03";"2022"
"Comunitat Valenciana";"Valencia/Valéncia";92821,97;58880,99;30395;3545,98;0;"03";"2022"
"Extremadura";"Badajoz";36241,05;15827,44;14721,86;1523,82;4167,93;"03";"2022"
"Extremadura";"Cáceres";20789,67;9058,11;8808,65;652,97;2269,94;"03";"2022"
"Galicia";"Coruña, A";35902,1;23823,67;11165,2;913,23;0;"03";"2022"
"Galicia";"Lugo";8972,15;5585,74;3113,1;273,31;0;"03";"2022"
"Galicia";"Ourense";9549,87;5724,13;3502,46;323,28;0;"03";"2022"
"Galicia";"Pontevedra";35601,33;23251,14;11369,94;980,25;0;"03";"2022"
"Madrid";"Madrid";216518,5;164693,07;47966,61;3858,82;0;"03";"2022"
"Murcia";"Murcia";55779,45;38818,02;14846,8;2114,63;0;"03";"2022"
"Navarra";"Navarra";22813,01;17842,89;4641,61;328,51;0;"03";"2022"
"País Vasco";"Araba/Álava";10377,63;8141,42;2066,97;169,24;0;"03";"2022"
"País Vasco";"Gipuzkoa";19286,96;15272,88;3751,89;262,19;0;"03";"2022"
"País Vasco";"Bizkaia";33761,65;25125,12;7988,23;648,3;0;"03";"2022"
"La Rioja";"Rioja, La";10659,48;7896,03;2611,52;151,93;0;"03";"2022"
"Ceuta";"Ceuta";3020,45;1651,46;1149,56;219,43;0;"03";"2022"
"Melilla";"Melilla";2709,28;1781,52;840,25;87,51;0;"03";"2022"
"Andalucía";"Almería";28334,17;17174,78;9149,35;1063,68;946,36;"04";"2022"
"Andalucía";"Cádiz";55214,55;28051,94;20418,16;3433,83;3310,62;"04";"2022"
"Andalucía";"Córdoba";40712,16;16139,65;15385,97;1501,31;7685,23;"04";"2022"
"Andalucía";"Granada";42055,97;19256,95;16273,61;1859,22;4666,19;"04";"2022"
"Andalucía";"Huelva";22921,74;11082,61;7958,14;1001,49;2879,5;"04";"2022"
"Andalucía";"Jaén";34537,25;14789,11;12320,18;1126,91;6301,05;"04";"2022"
"Andalucía";"Málaga";63068,16;34973,05;22121,63;2605,75;3367,73;"04";"2022"
"Andalucía";"Sevilla";86597,19;39901,26;31907,76;3632,72;11155,45;"04";"2022"
"Aragón";"Huesca";5984,02;4473,84;1369,39;140,79;0;"04";"2022"
"Aragón";"Teruel";3560,88;2470,96;1025,78;64,14;0;"04";"2022"
"Aragón";"Zaragoza";30111,43;21786,81;7636,85;687,77;0;"04";"2022"
"Asturias";"Asturias";30245,23;19374,35;9858,95;1011,93;0;"04";"2022"
"Illes Balears";"Balears, Illes";33853,93;25191,19;7959,86;702,88;0;"04";"2022"
"Canarias";"Palmas, Las";43351,16;24275,13;16710,24;2365,79;0;"04";"2022"
"Canarias";"Santa Cruz de Tenerife";40087,76;21921,63;15793,35;2372,78;0;"04";"2022"
"Cantabria";"Cantabria";17998,43;12164,56;5272,74;561,13;0;"04";"2022"
"Castilla y León";"Ávila";4973,42;2943,58;1859,68;170,16;0;"04";"2022"
"Castilla y León";"Burgos";11872,42;8254,45;3370,89;247,08;0;"04";"2022"
"Castilla y León";"León";13814,2;8378,05;5009,53;426,62;0;"04";"2022"
"Castilla y León";"Palencia";5601,88;4067,34;1409,25;125,29;0;"04";"2022"
"Castilla y León";"Salamanca";9907,5;6151,76;3417,44;338,3;0;"04";"2022"
"Castilla y León";"Segovia";3966,39;2823,61;1055,26;87,52;0;"04";"2022"
"Castilla y León";"Soria";2542,08;1930,47;570,27;41,34;0;"04";"2022"
"Castilla y León";"Valladolid";16881,31;12524,33;3965,19;391,79;0;"04";"2022"
"Castilla y León";"Zamora";5253,82;3141,89;1932,31;179,62;0;"04";"2022"
"Castilla - La Mancha";"Albacete";14085,12;8425,25;4998,02;661,85;0;"04";"2022"
"Castilla - La Mancha";"Ciudad Real";17664,46;9921,47;6735,19;1007,8;0;"04";"2022"
"Castilla - La Mancha";"Cuenca";6093,8;3872,35;2042,56;178,89;0;"04";"2022"
"Castilla - La Mancha";"Guadalajara";9720,37;6981,76;2530,63;207,98;0;"04";"2022"
"Castilla - La Mancha";"Toledo";25691,67;15637,25;9129,92;924,5;0;"04";"2022"
"Cataluña";"Barcelona";191429,85;145375,97;43284,78;2769,1;0;"04";"2022"
"Cataluña";"Girona";23567,98;17069,76;6024,71;473,51;0;"04";"2022"
"Cataluña";"Lleida";13276,46;9845,48;3146,41;284,57;0;"04";"2022"
"Cataluña";"Tarragona";25474,01;17083,39;7696,54;694,08;0;"04";"2022"
"Comunitat Valenciana";"Alicante/Alacant";63829,59;36908,49;23811,71;3109,39;0;"04";"2022"
"Comunitat Valenciana";"Castellón/Castelló";20446,69;13082,33;6762,74;601,62;0;"04";"2022"
"Comunitat Valenciana";"Valencia/Valéncia";87915,71;55769,93;28768,62;3377,16;0;"04";"2022"
"Extremadura";"Badajoz";32907,01;13806,26;13660,83;1460,15;3979,77;"04";"2022"
"Extremadura";"Cáceres";19405,24;8195,71;8354,78;623,73;2231,02;"04";"2022"
"Galicia";"Coruña, A";32184,89;21015,66;10313,92;855,31;0;"04";"2022"
"Galicia";"Lugo";8180,9;5045,66;2878,12;257,12;0;"04";"2022"
"Galicia";"Ourense";9022,35;5418,11;3292,81;311,43;0;"04";"2022"
"Galicia";"Pontevedra";34355,82;23084,96;10346,85;924,01;0;"04";"2022"
"Madrid";"Madrid";202772,94;155128,58;44100,4;3543,96;0;"04";"2022"
"Murcia";"Murcia";53166,59;37092,03;14095,35;1979,21;0;"04";"2022"
"Navarra";"Navarra";19550,47;15001,18;4225,98;323,31;0;"04";"2022"
"País Vasco";"Araba/Álava";9557,13;7475,07;1917,98;164,08;0;"04";"2022"
"País Vasco";"Gipuzkoa";17978,88;14269,49;3455,03;254,36;0;"04";"2022"
"País Vasco";"Bizkaia";32195,63;24136,63;7448,12;610,88;0;"04";"2022"
"La Rioja";"Rioja, La";9466,37;6969,78;2361,97;134,62;0;"04";"2022"
"Ceuta";"Ceuta";2839,86;1568,96;1054,71;216,19;0;"04";"2022"
"Melilla";"Melilla";2308,4;1490,5;733,59;84,31;0;"04";"2022"
"Andalucía";"Almería";30173,75;18828,91;9355;1052,04;937,8;"05";"2022"
"Andalucía";"Cádiz";51520,13;25180,51;19709,57;3369;3261,05;"05";"2022"
"Andalucía";"Córdoba";39268,95;15016,92;15266,04;1449,27;7536,72;"05";"2022"
"Andalucía";"Granada";41027,51;18529,95;16058,98;1839,67;4598,91;"05";"2022"
"Andalucía";"Huelva";20502,93;9643,79;7254,42;986,02;2618,7;"05";"2022"
"Andalucía";"Jaén";32814,48;13155,52;12325,36;1122,41;6211,19;"05";"2022"
"Andalucía";"Málaga";58755,37;31140,12;21689,32;2515,19;3410,74;"05";"2022"
"Andalucía";"Sevilla";83822,28;37715,75;31546,25;3508,23;11052,05;"05";"2022"
"Aragón";"Huesca";6356,03;4858,43;1369,51;128,09;0;"05";"2022"
"Aragón";"Teruel";3285,56;2234,21;990,06;61,29;0;"05";"2022"
"Aragón";"Zaragoza";29690,95;21373,14;7649,53;668,28;0;"05";"2022"
"Asturias";"Asturias";30038,42;19412,42;9635,2;990,8;0;"05";"2022"
"Illes Balears";"Balears, Illes";28274,33;20636,3;6975,45;662,58;0;"05";"2022"
"Canarias";"Palmas, Las";44562,24;25183,26;17029,52;2349,46;0;"05";"2022"
"Canarias";"Santa Cruz de Tenerife";39736,27;21730,71;15688,87;2316,69;0;"05";"2022"
"Cantabria";"Cantabria";17057,85;11221,6;5274,6;561,65;0;"05";"2022"
"Castilla y León";"Ávila";4743,42;2753,89;1826,14;163,39;0;"05";"2022"
"Castilla y León";"Burgos";11128,87;7549,56;3338,54;240,77;0;"05";"2022"
"Castilla y León";"León";13275,45;7871,62;4990,75;413,08;0;"05";"2022"
"Castilla y León";"Palencia";4918,02;3454,27;1342,57;121,18;0;"05";"2022"
"Castilla y León";"Salamanca";9550,24;5799,76;3425,77;324,71;0;"05";"2022"
"Castilla y León";"Segovia";3827,83;2693,93;1048,54;85,36;0;"05";"2022"
"Castilla y León";"Soria";2174,2;1568,22;566,11;39,87;0;"05";"2022"
"Castilla y León";"Valladolid";15830,92;11510,37;3938,63;381,92;0;"05";"2022"
"Castilla y León";"Zamora";5066,61;2924,64;1963,18;178,79;0;"05";"2022"
