"Comunidad.Autónoma";"Provincia";"Gasto.Total.Prestación";"Gasto.Prestación.Contributiva";"Gasto.Subsidio.Desempleo";"Gasto.Renta.Activa.Inserción";"Gasto.Subsidio.Eventuales.Agrarios";"mes";"any"
"Castilla - La Mancha";"Guadalajara";7894,5;5703,41;1834,76;284,98;0;"03";"2018"
"Castilla - La Mancha";"Toledo";22208,1;12638,17;7369,46;1603,27;0;"03";"2018"
"Cataluña";"Barcelona";158578,08;119476,44;32642,74;5229,3;0;"03";"2018"
"Cataluña";"Girona";23446,41;16727,37;5751,83;766,55;0;"03";"2018"
"Cataluña";"Lleida";11306,31;8255,23;2471,84;451,22;0;"03";"2018"
"Cataluña";"Tarragona";26056,53;17962,64;6715,68;1075,25;0;"03";"2018"
"Comunitat Valenciana";"Alicante/Alacant";55760,77;33855,4;16407,68;4133,77;0;"03";"2018"
"Comunitat Valenciana";"Castellón/Castelló";16732,89;10569,65;4909,68;973,6;0;"03";"2018"
"Comunitat Valenciana";"Valencia/Valéncia";73732,89;47355,32;19612,04;5230,94;0;"03";"2018"
"Extremadura";"Badajoz";33026,25;13984,96;12070,93;2062,11;4222,97;"03";"2018"
"Extremadura";"Cáceres";18324,18;8002,81;6604,47;940,01;2531,71;"03";"2018"
"Galicia";"Coruña, A";30486,65;21047,97;7600,92;1498,11;0;"03";"2018"
"Galicia";"Lugo";7737,28;5045,28;2177,31;406,23;0;"03";"2018"
"Galicia";"Ourense";7602,09;4487,96;2558,61;442,75;0;"03";"2018"
"Galicia";"Pontevedra";28978,04;18644,27;8291,12;1600,76;0;"03";"2018"
"Madrid";"Madrid";178999,13;142800,61;28772,71;6084,76;0;"03";"2018"
"Murcia";"Murcia";42946,48;28914,94;9741,93;3058,77;0;"03";"2018"
"Navarra";"Navarra";16111,52;12667,98;3004,4;397,59;0;"03";"2018"
"País Vasco";"Araba/Álava";7624,73;6213,78;1245,86;151,97;0;"03";"2018"
"País Vasco";"Gipuzkoa";15558,53;12829,4;2428,02;285,85;0;"03";"2018"
"País Vasco";"Bizkaia";26730,42;21386,44;4632,22;652,71;0;"03";"2018"
"La Rioja";"Rioja, La";8194,39;6208,79;1608,71;304,04;0;"03";"2018"
"Ceuta";"Ceuta";2341,34;981,35;851,54;295,07;0;"03";"2018"
"Melilla";"Melilla";1801,73;848,75;577,66;222,03;0;"03";"2018"
"Andalucía";"Almería";23168,77;12942,1;6858,04;1513,9;1175,87;"04";"2018"
"Andalucía";"Cádiz";45443,93;20248,16;15842,3;4143,78;3397,96;"04";"2018"
"Andalucía";"Córdoba";35029,82;12615,61;11969,28;1865,93;7720,49;"04";"2018"
"Andalucía";"Granada";36026,79;15553,77;12306,85;2283,01;4900,07;"04";"2018"
"Andalucía";"Huelva";19269,86;8318,25;6358,21;1287,36;2803,23;"04";"2018"
"Andalucía";"Jaén";28795,74;10986,99;9596,32;1429,28;6226,66;"04";"2018"
"Andalucía";"Málaga";54361,14;28892,63;16765,23;3728,97;3589,62;"04";"2018"
"Andalucía";"Sevilla";79580,69;34009,36;26131,54;5407,4;11530,07;"04";"2018"
"Aragón";"Huesca";4935,62;3819,91;907,12;157,85;0;"04";"2018"
"Aragón";"Teruel";2782,67;1989,03;651,27;108,03;0;"04";"2018"
"Aragón";"Zaragoza";23693,42;18138,18;4482,69;893,09;0;"04";"2018"
"Asturias";"Asturias";27031,04;19245,9;6180,41;1392,04;0;"04";"2018"
"Illes Balears";"Balears, Illes";34276,46;24030,86;9468,47;682,31;0;"04";"2018"
"Canarias";"Palmas, Las";40990,06;26404,32;10445,7;3119,63;0;"04";"2018"
"Canarias";"Santa Cruz de Tenerife";36159,86;21019,8;11146,93;3022,97;0;"04";"2018"
"Cantabria";"Cantabria";15547,54;10797,98;3906,58;722,58;0;"04";"2018"
"Castilla y León";"Ávila";4317,41;2540,76;1414,74;273,25;0;"04";"2018"
"Castilla y León";"Burgos";8685,08;6036,16;2199,82;367,98;0;"04";"2018"
"Castilla y León";"León";12027,35;8150,91;3083,89;625,82;0;"04";"2018"
"Castilla y León";"Palencia";4133,92;2908,82;1028,89;158,12;0;"04";"2018"
"Castilla y León";"Salamanca";8716,71;5487,59;2562,27;497,72;0;"04";"2018"
"Castilla y León";"Segovia";3153,82;2216,68;787,73;129,68;0;"04";"2018"
"Castilla y León";"Soria";1915,32;1418,49;416,17;65,47;0;"04";"2018"
"Castilla y León";"Valladolid";13187,28;9812,06;2638,28;582,69;0;"04";"2018"
"Castilla y León";"Zamora";4536,68;2736,26;1428,49;297,03;0;"04";"2018"
"Castilla - La Mancha";"Albacete";12509,3;6999,08;4256,13;943,29;0;"04";"2018"
"Castilla - La Mancha";"Ciudad Real";16997,14;8747,58;6174,4;1504,09;0;"04";"2018"
"Castilla - La Mancha";"Cuenca";5162,75;3068,35;1598,62;357,02;0;"04";"2018"
"Castilla - La Mancha";"Guadalajara";7798,55;5613,86;1834,86;278,52;0;"04";"2018"
"Castilla - La Mancha";"Toledo";22146,24;12376,61;7600,27;1588,73;0;"04";"2018"
"Cataluña";"Barcelona";154053,56;116069,06;31620,37;5161,35;0;"04";"2018"
"Cataluña";"Girona";20262,03;14547,8;4757,29;745,59;0;"04";"2018"
"Cataluña";"Lleida";10868,35;7926,42;2377,32;434,84;0;"04";"2018"
"Cataluña";"Tarragona";22590,5;15276,18;5965,34;1052,14;0;"04";"2018"
"Comunitat Valenciana";"Alicante/Alacant";54184,33;32885,34;15894,39;4042,39;0;"04";"2018"
"Comunitat Valenciana";"Castellón/Castelló";16785,2;10573,59;4953,31;959,49;0;"04";"2018"
"Comunitat Valenciana";"Valencia/Valéncia";73460,37;47239,33;19521,38;5182,55;0;"04";"2018"
"Extremadura";"Badajoz";30469,24;12161,08;11414,82;2039;4145,17;"04";"2018"
"Extremadura";"Cáceres";17071,14;7059,87;6343,21;932,34;2484,95;"04";"2018"
"Galicia";"Coruña, A";29660,73;20445,45;7402,73;1464,98;0;"04";"2018"
"Galicia";"Lugo";7287,85;4690,91;2095,62;393,72;0;"04";"2018"
"Galicia";"Ourense";7422,91;4338,83;2531,75;435,41;0;"04";"2018"
"Galicia";"Pontevedra";28036,64;18033,13;7983,57;1592,11;0;"04";"2018"
"Madrid";"Madrid";176870,62;141360,28;28053,6;6078,35;0;"04";"2018"
"Murcia";"Murcia";40972,41;27395,36;9375,85;3006,85;0;"04";"2018"
"Navarra";"Navarra";15658,38;12357,96;2878,87;381,26;0;"04";"2018"
"País Vasco";"Araba/Álava";7585,32;6198,64;1210,63;158,94;0;"04";"2018"
"País Vasco";"Gipuzkoa";15242,28;12600,21;2348,45;277,38;0;"04";"2018"
"País Vasco";"Bizkaia";26551,39;21316;4523,05;655;0;"04";"2018"
"La Rioja";"Rioja, La";7992,17;6021,42;1616,27;290,23;0;"04";"2018"
"Ceuta";"Ceuta";2343,29;1029,37;809,25;299,57;0;"04";"2018"
"Melilla";"Melilla";1745,79;805,85;568;214,88;0;"04";"2018"
"Andalucía";"Almería";24336,08;14130,56;6911,98;1478,39;1164,18;"05";"2018"
"Andalucía";"Cádiz";42492,64;18410,02;14959,36;4070,08;3326,91;"05";"2018"
"Andalucía";"Córdoba";34689,25;11783,1;12357,97;1834,67;7888,69;"05";"2018"
"Andalucía";"Granada";35586,05;15160,63;12288,7;2238,39;4976,13;"05";"2018"
"Andalucía";"Huelva";18044,97;7742,93;5927,53;1249,51;2655,2;"05";"2018"
"Andalucía";"Jaén";28552,13;10232,53;9980,42;1414,29;6380,9;"05";"2018"
"Andalucía";"Málaga";52258,34;27343,74;16275,23;3692,12;3659,9;"05";"2018"
"Andalucía";"Sevilla";77452,5;32558,26;25699,41;5368,87;11424,03;"05";"2018"
"Aragón";"Huesca";4889,16;3824,12;873,27;150,71;0;"05";"2018"
"Aragón";"Teruel";2695,35;1944,47;615,4;103,15;0;"05";"2018"
"Aragón";"Zaragoza";22499,5;17138,58;4315,53;878,72;0;"05";"2018"
"Asturias";"Asturias";26043,24;18556,36;5886,2;1393,2;0;"05";"2018"
"Illes Balears";"Balears, Illes";23351,27;17402,64;5199,48;656,38;0;"05";"2018"
"Canarias";"Palmas, Las";41523,23;27148,64;10339,82;3086,3;0;"05";"2018"
"Canarias";"Santa Cruz de Tenerife";36212,94;21222,43;11056,35;2989,32;0;"05";"2018"
"Cantabria";"Cantabria";14485,74;9961,38;3704,72;703,45;0;"05";"2018"
"Castilla y León";"Ávila";4052,78;2344,56;1351,38;269,44;0;"05";"2018"
"Castilla y León";"Burgos";8563,95;5977,31;2154,91;357,98;0;"05";"2018"
"Castilla y León";"León";11479,72;7716,99;2996,62;606,22;0;"05";"2018"
"Castilla y León";"Palencia";3916,78;2729,17;993,79;156,66;0;"05";"2018"
"Castilla y León";"Salamanca";8273,61;5194,01;2430,79;490,29;0;"05";"2018"
"Castilla y León";"Segovia";3001,76;2101,46;747,55;132,71;0;"05";"2018"
"Castilla y León";"Soria";1751,47;1285,33;391,35;60,71;0;"05";"2018"
"Castilla y León";"Valladolid";12428,08;9153,62;2558,49;568,39;0;"05";"2018"
"Castilla y León";"Zamora";4254,2;2504,48;1380,85;293,65;0;"05";"2018"
"Castilla - La Mancha";"Albacete";11578,08;6285,91;4074,41;924,88;0;"05";"2018"
"Castilla - La Mancha";"Ciudad Real";15827,84;7855,61;5923,55;1507,17;0;"05";"2018"
"Castilla - La Mancha";"Cuenca";5087,05;3046,22;1560,27;352,99;0;"05";"2018"
"Castilla - La Mancha";"Guadalajara";7374,34;5224,29;1798,43;280,04;0;"05";"2018"
"Castilla - La Mancha";"Toledo";21080,19;11549,48;7402,68;1580,61;0;"05";"2018"
"Cataluña";"Barcelona";149605,67;113026,79;30413,12;5054,12;0;"05";"2018"
"Cataluña";"Girona";18330,61;13156,77;4237,07;729,52;0;"05";"2018"
"Cataluña";"Lleida";10300,97;7555,78;2201,39;419,17;0;"05";"2018"
"Cataluña";"Tarragona";21215,18;14495,37;5409,51;1046,97;0;"05";"2018"
"Comunitat Valenciana";"Alicante/Alacant";51630,83;30897,78;15483,11;3983,04;0;"05";"2018"
"Comunitat Valenciana";"Castellón/Castelló";16867,9;10617,15;5005,7;953,56;0;"05";"2018"
"Comunitat Valenciana";"Valencia/Valéncia";72232,27;46423,72;19213,54;5144,66;0;"05";"2018"
"Extremadura";"Badajoz";28245,59;10766,88;10814,55;2007,51;3989,13;"05";"2018"
"Extremadura";"Cáceres";15561,61;6189,4;5966,5;916,04;2261,2;"05";"2018"
"Galicia";"Coruña, A";28597,98;19639,56;7169,13;1460,61;0;"05";"2018"
"Galicia";"Lugo";6965,31;4454,74;2008,47;397,49;0;"05";"2018"
"Galicia";"Ourense";7011,05;4046,46;2421,78;435,01;0;"05";"2018"
"Galicia";"Pontevedra";26296,87;16757,71;7583,85;1561,24;0;"05";"2018"
"Madrid";"Madrid";173169,1;138564,05;27310,64;5964,75;0;"05";"2018"
"Murcia";"Murcia";40395,83;27525,35;8848,08;2930,25;0;"05";"2018"
"Navarra";"Navarra";14274,97;11199,88;2677;363,58;0;"05";"2018"
"País Vasco";"Araba/Álava";7622,34;6292,57;1159,26;151,69;0;"05";"2018"
"País Vasco";"Gipuzkoa";14807,46;12263,41;2253,76;273,57;0;"05";"2018"
"País Vasco";"Bizkaia";25416,84;20327,3;4407,68;631,3;0;"05";"2018"
"La Rioja";"Rioja, La";7375,26;5505,14;1526,58;288,13;0;"05";"2018"
"Ceuta";"Ceuta";2172,14;904,63;754,53;305,09;0;"05";"2018"
"Melilla";"Melilla";1843,92;877,21;599,98;217,15;0;"05";"2018"
"Andalucía";"Almería";29035,33;18714,9;7098,8;1459;1167,08;"06";"2018"
"Andalucía";"Cádiz";40761,32;17848,69;14141,66;4047,83;3223,32;"06";"2018"
"Andalucía";"Córdoba";35239,06;11844,57;12788,22;1823,96;8049,19;"06";"2018"
"Andalucía";"Granada";35999,29;15602,45;12385,96;2210,84;4994,24;"06";"2018"
"Andalucía";"Huelva";20758,81;10614,72;5888,38;1262,73;2577,94;"06";"2018"
"Andalucía";"Jaén";28835,92;10008,69;10452,75;1406,03;6485,11;"06";"2018"
"Andalucía";"Málaga";50104,23;25909,77;15720,15;3651,4;3690,01;"06";"2018"
"Andalucía";"Sevilla";77056,59;32743,95;25385,3;5338,08;11446,55;"06";"2018"
"Aragón";"Huesca";4209,13;3240,87;794,23;142,84;0;"06";"2018"
"Aragón";"Teruel";2502,97;1800,33;577,17;96,91;0;"06";"2018"
"Aragón";"Zaragoza";21246,04;16243,98;4034,31;833,74;0;"06";"2018"
"Asturias";"Asturias";24834,83;17717,97;5567,59;1367,63;0;"06";"2018"
"Illes Balears";"Balears, Illes";20905,62;15752,2;4438,87;625,54;0;"06";"2018"
"Canarias";"Palmas, Las";41838,32;27597,69;10330,87;3092,49;0;"06";"2018"
"Canarias";"Santa Cruz de Tenerife";35976,36;21309,97;10820,45;3008,22;0;"06";"2018"
"Cantabria";"Cantabria";13709,58;9342,59;3590,65;675,38;0;"06";"2018"
"Castilla y León";"Ávila";3902,66;2323,26;1238,15;265,34;0;"06";"2018"
"Castilla y León";"Burgos";8147,32;5741,2;1997,93;346,46;0;"06";"2018"
"Castilla y León";"León";11050,25;7508,78;2804,02;593,93;0;"06";"2018"
"Castilla y León";"Palencia";3677,5;2573,59;909,78;158,79;0;"06";"2018"
"Castilla y León";"Salamanca";7584,65;4722,49;2249,9;481,62;0;"06";"2018"
"Castilla y León";"Segovia";2798,65;1971,62;677,11;130,57;0;"06";"2018"
"Castilla y León";"Soria";1572,87;1165,34;338,24;57,5;0;"06";"2018"
"Castilla y León";"Valladolid";11514,45;8457,95;2366,73;567,63;0;"06";"2018"
"Castilla y León";"Zamora";4015,91;2356,88;1301,26;292,41;0;"06";"2018"
"Castilla - La Mancha";"Albacete";10769,54;5763,63;3845,9;910,66;0;"06";"2018"
"Castilla - La Mancha";"Ciudad Real";14844,11;7251,27;5637,07;1487,97;0;"06";"2018"
"Castilla - La Mancha";"Cuenca";4848,74;2937,13;1462,29;348,92;0;"06";"2018"
"Castilla - La Mancha";"Guadalajara";7025,89;5013,54;1671,37;277,59;0;"06";"2018"
"Castilla - La Mancha";"Toledo";19807,08;10750,74;7021,49;1559,59;0;"06";"2018"
"Cataluña";"Barcelona";145669,65;110547,4;29254,5;4925,1;0;"06";"2018"
"Cataluña";"Girona";17121,51;12403,72;3841,48;712,19;0;"06";"2018"
"Cataluña";"Lleida";9227,3;6757,13;1962,39;406,64;0;"06";"2018"
"Cataluña";"Tarragona";19823,95;13575,89;4997,06;1023,46;0;"06";"2018"
"Comunitat Valenciana";"Alicante/Alacant";49786,41;29860,01;14851,86;3928,01;0;"06";"2018"
"Comunitat Valenciana";"Castellón/Castelló";16831,63;10816,4;4854,1;901,46;0;"06";"2018"
"Comunitat Valenciana";"Valencia/Valéncia";76320,17;50758,37;19249,19;5004,46;0;"06";"2018"
"Extremadura";"Badajoz";26617,27;9936,04;10238,57;1964,19;3886,6;"06";"2018"
"Extremadura";"Cáceres";14721,7;5787,64;5630,12;885,44;2225,12;"06";"2018"
"Galicia";"Coruña, A";27786,83;19121,91;6921,77;1443,88;0;"06";"2018"
"Galicia";"Lugo";6500,83;4099,02;1925,35;390,35;0;"06";"2018"
"Galicia";"Ourense";6717,77;3843,66;2358,32;421,53;0;"06";"2018"
"Galicia";"Pontevedra";24842,65;15791,81;7176,39;1534,26;0;"06";"2018"
"Madrid";"Madrid";167965,85;134341,02;26466,16;5934,41;0;"06";"2018"
"Murcia";"Murcia";42688,1;30267;8595,19;2885,7;0;"06";"2018"
"Navarra";"Navarra";14166,31;11245,2;2540,19;353,28;0;"06";"2018"
"País Vasco";"Araba/Álava";7185,34;5899,37;1129,8;142,19;0;"06";"2018"
"País Vasco";"Gipuzkoa";14241,07;11785,51;2170,63;272,02;0;"06";"2018"
"País Vasco";"Bizkaia";24221,6;19320,43;4238,21;620,44;0;"06";"2018"
"La Rioja";"Rioja, La";7601,29;5855,82;1447,79;251,55;0;"06";"2018"
"Ceuta";"Ceuta";2204,09;920,16;778,53;313,01;0;"06";"2018"
"Melilla";"Melilla";2071,05;984,06;728,74;220,62;0;"06";"2018"
"Andalucía";"Almería";36527,45;26348,27;7140;1383,44;1194,13;"07";"2018"
"Andalucía";"Cádiz";41821,04;19720,89;13611,35;3884,89;3418,75;"07";"2018"
"Andalucía";"Córdoba";37457,06;13404,05;13313,93;1786,25;8372,61;"07";"2018"
"Andalucía";"Granada";38376,99;17591,21;12768,59;2154,93;5224,07;"07";"2018"
"Andalucía";"Huelva";29674,02;18110,61;6827,51;1250,83;3167,09;"07";"2018"
"Andalucía";"Jaén";30356,15;10910,48;10892,91;1354,23;6810,69;"07";"2018"
"Andalucía";"Málaga";52201,58;28643,32;15398,67;3513,04;3766,98;"07";"2018"
"Andalucía";"Sevilla";79652,73;35594,65;25330,3;5254,35;11758,19;"07";"2018"
"Aragón";"Huesca";4354,51;3451,47;745,23;135,95;0;"07";"2018"
"Aragón";"Teruel";2545,55;1874,03;551,17;96,79;0;"07";"2018"
"Aragón";"Zaragoza";23105,63;18342,94;3878,79;777,4;0;"07";"2018"
"Asturias";"Asturias";25326,5;18469,09;5394,62;1312,99;0;"07";"2018"
"Illes Balears";"Balears, Illes";22808,47;17887,98;4257,63;588,61;0;"07";"2018"
"Canarias";"Palmas, Las";43995,52;30011,36;10334,16;3018,81;0;"07";"2018"
"Canarias";"Santa Cruz de Tenerife";37991,19;23768,59;10653,16;2915,27;0;"07";"2018"
"Cantabria";"Cantabria";13298,71;9339,03;3241,47;647,87;0;"07";"2018"
"Castilla y León";"Ávila";3698,84;2286,68;1105,63;249,78;0;"07";"2018"
"Castilla y León";"Burgos";8165,12;5945,73;1848,03;323,49;0;"07";"2018"
"Castilla y León";"León";10992,68;7674,59;2630,76;576,79;0;"07";"2018"
"Castilla y León";"Palencia";3638,92;2660,01;801,74;153,03;0;"07";"2018"
"Castilla y León";"Salamanca";7995,15;5325,14;2120,43;449,31;0;"07";"2018"
"Castilla y León";"Segovia";2860,35;2122,7;605,48;118,54;0;"07";"2018"
"Castilla y León";"Soria";1631,42;1268,37;299,54;56,25;0;"07";"2018"
"Castilla y León";"Valladolid";11895,67;9028,73;2227,82;546,8;0;"07";"2018"
"Castilla y León";"Zamora";3949,04;2469,75;1165,24;266,43;0;"07";"2018"
"Castilla - La Mancha";"Albacete";11125,51;6521,23;3546,55;867,28;0;"07";"2018"
"Castilla - La Mancha";"Ciudad Real";15127,57;8104,01;5228,36;1427,23;0;"07";"2018"
"Castilla - La Mancha";"Cuenca";4754,97;3021,72;1323,53;337,56;0;"07";"2018"
"Castilla - La Mancha";"Guadalajara";7369,29;5521,15;1530,64;265,38;0;"07";"2018"
"Castilla - La Mancha";"Toledo";20034,56;11605,4;6541,97;1517,01;0;"07";"2018"
"Cataluña";"Barcelona";155111,16;121244,4;28390,21;4741,91;0;"07";"2018"
"Cataluña";"Girona";17647,95;13218,17;3637,3;668,02;0;"07";"2018"
"Cataluña";"Lleida";9077,8;6846,98;1776,89;386,48;0;"07";"2018"
"Cataluña";"Tarragona";21508,39;15523;4845,24;972,42;0;"07";"2018"
"Comunitat Valenciana";"Alicante/Alacant";53089,49;33735,05;14674,58;3776,98;0;"07";"2018"
"Comunitat Valenciana";"Castellón/Castelló";18352,9;12467,86;4812,56;865,61;0;"07";"2018"
"Comunitat Valenciana";"Valencia/Valéncia";84119,31;58937,2;19331,31;4809,69;0;"07";"2018"
"Extremadura";"Badajoz";26692,34;10380,84;10135,07;1865,64;3852,83;"07";"2018"
"Extremadura";"Cáceres";15210,59;6336,13;5631,29;846,69;2241,18;"07";"2018"
"Galicia";"Coruña, A";27330,56;19279,59;6421,16;1401,5;0;"07";"2018"
"Galicia";"Lugo";6566,25;4282,69;1840,41;377,41;0;"07";"2018"
"Galicia";"Ourense";6805,7;4078,59;2248,84;404,7;0;"07";"2018"
"Galicia";"Pontevedra";24235,59;15889,8;6640,77;1445,19;0;"07";"2018"
"Madrid";"Madrid";175021,35;143415,03;24946,03;5711,3;0;"07";"2018"
"Murcia";"Murcia";46820,17;34819,23;8451,09;2802,52;0;"07";"2018"
"Navarra";"Navarra";15994,04;13159,07;2481,86;331,63;0;"07";"2018"
"País Vasco";"Araba/Álava";7937,8;6671,3;1115,68;139,55;0;"07";"2018"
"País Vasco";"Gipuzkoa";15837,82;13438,28;2124,53;265,2;0;"07";"2018"
"País Vasco";"Bizkaia";27701,06;22848,55;4241,23;584,26;0;"07";"2018"
"La Rioja";"Rioja, La";8140,16;6466,75;1398,43;240,52;0;"07";"2018"
"Ceuta";"Ceuta";2753,07;1241,17;1051,98;309,01;0;"07";"2018"
"Melilla";"Melilla";2305,37;1199,01;767,64;225,78;0;"07";"2018"
"Andalucía";"Almería";38793,53;28618,71;7289,6;1327,29;1192,53;"08";"2018"
"Andalucía";"Cádiz";44661,9;22032,38;14296,88;3746,78;3614,67;"08";"2018"
"Andalucía";"Córdoba";39454,58;14827,83;13832,57;1755,91;8545,45;"08";"2018"
"Andalucía";"Granada";40580,61;19259,04;13327,76;2095,96;5368;"08";"2018"
"Andalucía";"Huelva";34155,14;21223,74;7823,93;1228,5;3625,18;"08";"2018"
"Andalucía";"Jaén";31723,72;11921,27;11192,87;1304,31;6992,23;"08";"2018"
"Andalucía";"Málaga";55527,32;31929,99;15694,63;3377,97;3797,65;"08";"2018"
"Andalucía";"Sevilla";83291,46;38805,64;26003,9;5084,83;11972,36;"08";"2018"
"Aragón";"Huesca";4506,14;3620,92;738,85;129,96;0;"08";"2018"
"Aragón";"Teruel";2656,15;1976,1;564,48;97,04;0;"08";"2018"
"Aragón";"Zaragoza";25260,37;20400,21;4019,93;755,4;0;"08";"2018"
"Asturias";"Asturias";25735,51;18957,53;5371,36;1287,58;0;"08";"2018"
"Illes Balears";"Balears, Illes";25052,41;20117,56;4313,98;562,32;0;"08";"2018"
"Canarias";"Palmas, Las";45217,32;31270,62;10520,08;2935,31;0;"08";"2018"
"Canarias";"Santa Cruz de Tenerife";39849;25599,97;10894,31;2806,64;0;"08";"2018"
"Cantabria";"Cantabria";13990,02;10193,08;3119,63;627,53;0;"08";"2018"
"Castilla y León";"Ávila";3916,71;2525,59;1105,64;239,07;0;"08";"2018"
"Castilla y León";"Burgos";9058,88;6826,47;1882,46;312,2;0;"08";"2018"
"Castilla y León";"León";11541,8;8215,31;2687,7;553,04;0;"08";"2018"
"Castilla y León";"Palencia";4227,96;3227,21;836,2;144,99;0;"08";"2018"
"Castilla y León";"Salamanca";8753,38;6081,06;2154;436,07;0;"08";"2018"
"Castilla y León";"Segovia";2966,78;2233,43;609,82;112,26;0;"08";"2018"
"Castilla y León";"Soria";1757,79;1397,46;302,57;53,1;0;"08";"2018"
"Castilla y León";"Valladolid";13279,24;10431,51;2241,77;533,33;0;"08";"2018"
"Castilla y León";"Zamora";6145,95;2630,62;3221,73;255,77;0;"08";"2018"
"Castilla - La Mancha";"Albacete";12220,56;7708,97;3526,02;835,69;0;"08";"2018"
"Castilla - La Mancha";"Ciudad Real";15896,61;9090,46;5124,87;1382,18;0;"08";"2018"
"Castilla - La Mancha";"Cuenca";5089,52;3404,96;1300,8;327,64;0;"08";"2018"
"Castilla - La Mancha";"Guadalajara";7797,47;6012,91;1489,37;255,69;0;"08";"2018"
"Castilla - La Mancha";"Toledo";20730,17;12783,64;6195,31;1454,61;0;"08";"2018"
"Cataluña";"Barcelona";172015,19;138295,65;28575,38;4558,56;0;"08";"2018"
"Cataluña";"Girona";19600,2;15156,44;3699,8;644,05;0;"08";"2018"
"Cataluña";"Lleida";10015,74;7789,18;1802,23;373,97;0;"08";"2018"
"Cataluña";"Tarragona";23070,47;17095,63;4905,13;936,6;0;"08";"2018"
"Comunitat Valenciana";"Alicante/Alacant";59686,85;40332,85;14999,93;3614,94;0;"08";"2018"
"Comunitat Valenciana";"Castellón/Castelló";19585,08;13888,46;4709,73;819,82;0;"08";"2018"
"Comunitat Valenciana";"Valencia/Valéncia";93515,24;68152,78;19866,62;4664,51;0;"08";"2018"
"Extremadura";"Badajoz";27842,78;11567,53;10238,76;1790,17;3863,21;"08";"2018"
"Extremadura";"Cáceres";15991,76;7084,57;5712,28;819,68;2251,74;"08";"2018"
"Galicia";"Coruña, A";27882,61;19944,51;6394,69;1355,49;0;"08";"2018"
"Galicia";"Lugo";6782,88;4524,56;1837,66;365,94;0;"08";"2018"
"Galicia";"Ourense";7086,6;4363,21;2274,99;388,66;0;"08";"2018"
"Galicia";"Pontevedra";26216,16;17874,42;6743,13;1388,35;0;"08";"2018"
"Madrid";"Madrid";182981,39;151808,25;24999,52;5392,29;0;"08";"2018"
"Murcia";"Murcia";50183,87;38154,64;8698,85;2706,59;0;"08";"2018"
"Navarra";"Navarra";16850,47;13997,24;2520,12;317,52;0;"08";"2018"
"País Vasco";"Araba/Álava";8715,04;7452,97;1113,83;139,43;0;"08";"2018"
"País Vasco";"Gipuzkoa";17272,51;14760,85;2250,45;253,45;0;"08";"2018"
"País Vasco";"Bizkaia";30204,01;25305,73;4318,29;561,39;0;"08";"2018"
"La Rioja";"Rioja, La";8921,82;7216,06;1446,22;231,3;0;"08";"2018"
"Ceuta";"Ceuta";2695,47;1213,88;1069,99;292,02;0;"08";"2018"
"Melilla";"Melilla";2288,22;1238,38;729,69;223,92;0;"08";"2018"
"Andalucía";"Almería";34259,98;23779,72;7660,82;1289,54;1271,15;"09";"2018"
"Andalucía";"Cádiz";44827,79;21572,49;15223,84;3700,19;3638,45;"09";"2018"
"Andalucía";"Córdoba";37805,04;13113,61;14009,64;1762,12;8567,45;"09";"2018"
"Andalucía";"Granada";39434,01;18142,83;13546,98;2117,44;5268,3;"09";"2018"
"Andalucía";"Huelva";32415,07;18919,68;8342,13;1245,52;3721,49;"09";"2018"
"Andalucía";"Jaén";30237,54;10744,47;11148,24;1288,75;6823,6;"09";"2018"
"Andalucía";"Málaga";53145,22;29475,88;16042,3;3359,2;3758,36;"09";"2018"
"Andalucía";"Sevilla";81600,58;37107,11;26450,17;5061,98;11939,92;"09";"2018"
"Aragón";"Huesca";4764,95;3816,29;812,88;127,65;0;"09";"2018"
"Aragón";"Teruel";2561,69;1865,62;587,85;96,32;0;"09";"2018"
"Aragón";"Zaragoza";22968,36;17981,94;4147,02;777,58;0;"09";"2018"
"Asturias";"Asturias";25757,12;18745,46;5652,06;1278,14;0;"09";"2018"
"Illes Balears";"Balears, Illes";25531,02;20356,67;4568,06;564,72;0;"09";"2018"
"Canarias";"Palmas, Las";40581,99;26885,06;10480,97;2890,49;0;"09";"2018"
"Canarias";"Santa Cruz de Tenerife";35764,24;21811,02;10797,25;2768,07;0;"09";"2018"
"Cantabria";"Cantabria";13375,12;9460,55;3257,61;621,26;0;"09";"2018"
"Castilla y León";"Ávila";3850,83;2460,34;1130,22;229,51;0;"09";"2018"
"Castilla y León";"Burgos";8405,81;6141,82;1925,63;312,99;0;"09";"2018"
"Castilla y León";"León";10831,49;7532,58;2702,95;539,29;0;"09";"2018"
"Castilla y León";"Palencia";4178,45;3148,09;868,59;144,12;0;"09";"2018"
"Castilla y León";"Salamanca";8115,18;5381,27;2224,97;451,38;0;"09";"2018"
"Castilla y León";"Segovia";2823,37;2067,25;633,91;113,43;0;"09";"2018"
"Castilla y León";"Soria";1653,57;1273,71;326,03;50,33;0;"09";"2018"
"Castilla y León";"Valladolid";12534,72;9635,08;2326,37;519,04;0;"09";"2018"
"Castilla y León";"Zamora";3790,72;2347,54;1162,54;253,38;0;"09";"2018"
"Castilla - La Mancha";"Albacete";11104,5;6664,74;3497,27;836,91;0;"09";"2018"
"Castilla - La Mancha";"Ciudad Real";14489,32;7897,87;5041,25;1347,49;0;"09";"2018"
